source	target	frequency
C5	C5AR1	0.01
C5	C5AR2	0.01
C5AR1	RPS19	0.01
CA12	SIGLEC6	0.01
CABIN1	CAPN1	0.01
CABLES1	CDK3	0.01
CABYR	GSK3B	0.01
CACNA1B	STX3	0.01
CACNA1C	CALM1	0.01
CACNA1C	CALM3	0.01
CACNA1C	PRKACA	0.01
CACNA1D	PRKACA	0.01
CACNA1D	RIMS3	0.01
CACNA1H	PRKACA	0.01
CACNB4	CDK1	0.01
CADM2	CADM4	0.01
CADM3	CADM4	0.01
CADM3	NECTIN1	0.01
CALCA	RAMP1	0.01
CALCA	RAMP2	0.01
CALCOCO1	PIAS1	0.01
CALM1	GRM3	0.01
CALM1	KCNN4	0.01
CALM1	KCNQ1	0.01
CALM2	CCP110	0.01
CALM2	NOS3	0.01
CALM2	PDE1C	0.01
CALM2	TRPV5	0.01
CALM3	KIF1A	0.01
CALR	ITGA3	0.01
CALR	MTNR1A	0.01
CALR	PDIA3	0.01
CAMK1	CAMK1G	0.01
CAMK1	EIF4G3	0.01
CAMK1	GCM1	0.01
CAMK1	NOS1	0.01
CAMK1	SYN1	0.01
CAMK1D	CAMKK1	0.01
CAMK2A	FBXO43	0.01
CAMK2A	HSF1	0.01
CAMK2A	LRRC7	0.01
CAMK2A	PDC	0.01
CAMK2A	RYR2	0.01
CAMK2A	SRF	0.01
CAMK2B	PLCB3	0.01
CAMK2B	RETREG1	0.01
CAMK2D	CREM	0.01
CAMK2D	GFAP	0.01
CAMK2D	KCNJ11	0.01
CAMK2D	SCN5A	0.01
CAMK4	CAMKK1	0.01
CAMK4	HDAC4	0.01
CAMK4	NOS1	0.01
CAMK4	NOVA2	0.01
CAND1	CUL1	0.01
CAND1	CUL4A	0.01
CANX	HLA-B	0.01
CAP1	GSK3B	0.01
CAPN1	CAST	0.01
CAPN1	OGG1	0.01
CAPN1	SPTBN2	0.01
CAPN2	CAPNS1	0.01
CAPN3	GSK3A	0.01
CAPZA1	CSNK2A1	0.01
CARD11	PRKCQ	0.01
CARD14	MAPK1	0.01
CARD16	CASP1	0.01
CARHSP1	DYRK2	0.01
CASK	SDC2	0.01
CASK	TBR1	0.01
CASKIN1	EPHB1	0.01
CASP1	CASP4	0.01
CASP1	CASP5	0.01
CASP1	IL18	0.01
CASP1	IL33	0.01
CASP1	NLRC4	0.01
CASP1	PYCARD	0.01
CASP1	PYDC1	0.01
CASP1	SERPINB9	0.01
CASP10	FADD	0.01
CASP12	CASP9	0.01
CASP3	CASP6	0.01
CASP3	DSG3	0.01
CASP3	GAS2	0.01
CASP3	GRIPAP1	0.01
CASP3	PSIP1	0.01
CASP4	GSDMD	0.01
CASP6	LMNA	0.01
CASP9	NAIP	0.01
CASQ2	CSNK2A2	0.01
CASR	PRKCA	0.01
CATSPER1	EFEMP2	0.01
CATSPER1	KRTAP4-12	0.01
CAV1	EGFR	0.01
CAV1	FYN	0.01
CAV1	PTGS2	0.01
CAV1	SLC1A1	0.01
CAV1	SLC1A2	0.01
CAV1	SRC	0.01
CAV1	TRPC1	0.01
CBFB	RUNX1	0.01
CBL	PIK3R2	0.01
CBL	SH3KBP1	0.01
CBL	ZAP70	0.01
CBLC	EGFR	0.01
CBLN1	NRXN2	0.01
CBLN2	GRID2	0.01
CBLN4	NEO1	0.01
CBX1	EMSY	0.01
CBX1	H3C3	0.01
CBX3	H3C3	0.01
CBX4	CSNK1A1	0.01
CBX5	FBXW10	0.01
CBX5	H3C3	0.01
CC2D1A	CDK1	0.01
CCBE1	VEGFC	0.01
CCDC88C	DVL1	0.01
CCK	CCKBR	0.01
CCL11	DPP4	0.01
CCL13	CCR3	0.01
CCL14	CCR1	0.01
CCL17	CCR8	0.01
CCL18	CCR3	0.01
CCL19	CCR10	0.01
CCL19	CCR7	0.01
CCL19	CCRL2	0.01
CCL2	MMP1	0.01
CCL2	MMP3	0.01
CCL2	MMP8	0.01
CCL20	CCR6	0.01
CCL20	CXCR3	0.01
CCL21	CCR7	0.01
CCL22	DPP4	0.01
CCL25	CCR10	0.01
CCL25	CCR9	0.01
CCL26	CCR1	0.01
CCL26	CX3CR1	0.01
CCL28	CCR10	0.01
CCL28	CCR3	0.01
CCL3L3	CCR1	0.01
CCL4	CCR1	0.01
CCL4L2	CCR1	0.01
CCL5	CCR1	0.01
CCL5	CCR3	0.01
CCL5	GPR75	0.01
CCL7	CCR3	0.01
CCL7	MMP13	0.01
CCM2	STK25	0.01
CCN1	ITGB5	0.01
CCN2	LRP6	0.01
CCN3	NOTCH1	0.01
CCN4	ITGA5	0.01
CCN6	SORL1	0.01
CCNA1	E2F1	0.01
CCNA2	CDC20	0.01
CCNA2	E2F1	0.01
CCNA2	NEK5	0.01
CCNB2	NFYA_NFYB_NFYC	0.01
CCND1	CDK4	0.01
CCND1	CDK6	0.01
CCND1	FBXO31	0.01
CCND1	HDAC2	0.01
CCND1	SKP2	0.01
CCND2	CDK6	0.01
CCND3	CDK6	0.01
CCNE1	FBXW7	0.01
CCNE1	GDE1	0.01
CCNE1	GSK3B	0.01
CCNG1	TP53	0.01
CCNH	CDK7	0.01
CCNK	CDK2	0.01
CCNL2	DYRK1A	0.01
CCR10	CXCL13	0.01
CCRL2	RARRES2	0.01
CD14	TLR2	0.01
CD151	ITGA3	0.01
CD151	ITGA6	0.01
CD160	TNFRSF14	0.01
CD163	CSNK2B	0.01
CD163	TNFSF12	0.01
CD177	PECAM1	0.01
CD177	SHBG	0.01
CD1B	PSAP	0.01
CD1D	CEACAM5	0.01
CD1D	LILRB2	0.01
CD2	CD48	0.01
CD2	CD58	0.01
CD2	CD59	0.01
CD209	CEACAM1	0.01
CD209	ICAM3	0.01
CD22	PTPN6	0.01
CD22	PTPRC	0.01
CD226	NECTIN2	0.01
CD24	SIGLEC10	0.01
CD247	PTPN3	0.01
CD247	TRBV7-9	0.01
CD247	ZAP70	0.01
CD248	MMRN2	0.01
CD274	CD80	0.01
