gene	log2FC	padj	AveExpr	t
DANT2	-0.530906549635037	6.31530637241681e-05	-1.4103121562905	-4.58281318549399
DOP1B	0.530901992224981	3.79903904616888e-06	4.8769187257067	5.40576979202826
TUBB4A	0.530872095411349	0.0246369364903326	-3.18969143762214	2.50264891884318
AC118553.2	-0.530866221554562	0.00481440092324322	-3.310325454049	-3.15082246464948
WHAMMP2	-0.530862953148442	2.65968437306325e-06	2.02894562460377	-5.5075887122051
MED27	0.530852201975125	1.17234151450352e-09	4.01247426111355	7.63159777130981
RNASE4	-0.530845451558715	0.00070493335458071	-2.11587840507998	-3.82064776080366
NFKB2	0.530826625227241	3.89929328115272e-08	5.55949667950476	6.67614000840146
ANK1	-0.530780717299258	0.00370184146902363	-0.342526406891319	-3.24700135227681
U82695.1	0.530749820534835	0.0261365191852952	-5.53308519704383	2.47706116144081
FHOD3	-0.530654975256159	0.0102842188711004	2.63530559756668	-2.86095240116901
HHIPL1	0.5306494750893	0.000282155722872493	0.719597972453457	4.11793155416048
REEP4	0.530520874073379	6.99355875721581e-10	4.21636964986481	7.77138546366392
UPB1	-0.530488840867825	0.00213011578273771	-2.32756493938258	-3.44345683235378
RPS24	0.530334367984205	3.20953775311381e-07	9.91671412662834	6.09882584861749
EIF1B-AS1	-0.530327477675677	1.02715923241453e-13	1.76855549521338	-10.2347851288197
AC020634.2	-0.530242344286177	0.0249987165341617	-4.85005008025694	-2.49652001313394
MTRNR2L2	0.530226005950867	0.0322570341906723	-5.76058933368184	2.38549464040442
ZNF808	-0.53018773719876	4.1575705943706e-09	2.75917578563416	-7.28669694556743
ZNF589	-0.530119496404178	3.98403559842213e-08	4.77385214423855	-6.67033988159704
SMTNL2	0.530089621250241	0.0416703073396928	-2.82520493666903	2.26997788023314
MYBL1	-0.530057984817563	0.00140282899170872	1.41448576945281	-3.58849648361824
RCBTB2	-0.530049464709038	1.61124029396678e-13	5.40579235995324	-10.1053303317774
AL133227.1	-0.530008249242971	0.000169833796234435	-0.675398797891907	-4.27845116326871
MAP7D1	0.52999241379824	2.32549973024999e-07	6.79044518604915	6.18817679937272
CPZ	-0.529974521546166	0.0914671432389583	-2.30674428404204	-1.88580415130181
RPL31P52	-0.52995826896615	0.00184468581867536	-3.66231017476094	-3.49395857134825
RPS26P11	0.52994535859921	0.00589059412522862	-4.13993332986349	3.07547672896576
YIPF1	-0.529938448371185	4.98389666419045e-07	5.5950804302461	-5.97650611181801
LRRFIP2	-0.529883214730556	1.59064082191975e-12	5.62026018529626	-9.45179294552993
RASGRF2	-0.529876864547636	6.43061986621891e-05	3.29195178306068	-4.57732797260214
ISOC1	0.529827388158785	1.01868020739085e-12	4.66929298251215	9.57671507565451
MEDAG	0.529775698433527	0.0236317713068724	3.42164346976663	2.52036853548954
FBXL19	0.529751345824041	9.90238220559501e-13	4.03931953503246	9.58489861705147
C1QTNF9	-0.529724953574205	0.0109172861778981	-3.74225964560622	-2.83743677552141
MST1	0.529701782458413	5.74220723756697e-05	3.54312831282561	4.61124467826719
RPL13AP3	0.529610171957316	0.00661428178820817	-2.0080520674777	3.03130721422048
SVOP	-0.529587377689144	0.0332104021840327	-5.94199102492779	-2.37238651647814
AP002360.1	-0.529513790817485	4.56906676583388e-05	2.61170994683323	-4.6798830763123
ACO1	0.529491051793669	9.18071489868281e-06	6.38700696392028	5.15292350393409
TLE3	0.529482083325674	1.05084389503918e-08	6.24348665875879	7.03499082158324
C9orf116	-0.529447363435148	1.51119492762821e-05	2.37111772581189	-5.00713368149992
AL132857.1	0.529311814251035	0.000179509813911762	1.25745746406098	4.26098526323864
PABPC4	0.529238943908877	1.97343005395638e-12	6.73201560203023	9.39074742208191
LURAP1	-0.529179197651267	1.57363025936841e-06	2.14645010951965	-5.65640649227617
AL592295.5	-0.529173422813826	1.12582543772817e-06	-0.218499266738841	-5.74995698788872
ATP8A1	-0.529134621976028	4.36396117516367e-05	7.23488513985393	-4.69368736157418
RPL4P1	-0.529125253993669	0.0213644893075148	-3.94824149880958	-2.56330049286427
NECTIN3-AS1	-0.529118622193375	2.80606569745606e-05	-0.0466083982031953	-4.82440027570911
LINC02569	-0.529059491669637	0.000287601883927817	-2.29142521622491	-4.11192650750776
AC009166.2	-0.52902431068615	0.0116043643787063	-1.08346579646953	-2.81329838981852
KCNN1	0.528961813710577	0.0122497306490351	-2.50182990399126	2.79171770195861
MTND4P35	0.528957085848362	0.0154881472097857	-2.13243593640895	2.69671897992628
C9orf129	-0.528947371901658	0.0272739556689424	-5.74130987801469	-2.45885395868912
ZBTB42	0.528922028978884	3.24108614687174e-10	4.67832928833382	7.98082916566971
DTYMK	0.5289069780614	2.75470796412367e-08	3.92511144446639	6.77176043076631
AC093249.6	-0.528904284402801	0.000246830276809277	-0.0391241723447504	-4.1605526803989
AC079807.1	-0.528901189013321	8.21101249929372e-07	0.000759369121690371	-5.83801679385132
